slot_id,centre_id,date,start_time,end_time,max_farmers,booked_count
S00085,PC002,2026-03-01,12:00,13:00,5,0
S00086,PC002,2026-03-01,13:00,14:00,5,0
S00087,PC002,2026-03-01,14:00,15:00,5,0
S00088,PC002,2026-03-01,15:00,16:00,5,0
S00089,PC002,2026-03-02,08:00,09:00,5,0
S00090,PC002,2026-03-02,09:00,10:00,5,0
S00091,PC002,2026-03-02,10:00,11:00,5,0
S00092,PC002,2026-03-02,11:00,12:00,5,0
S00093,PC002,2026-03-02,12:00,13:00,5,0
S00094,PC002,2026-03-02,13:00,14:00,5,0
S00095,PC002,2026-03-02,14:00,15:00,5,0
S00096,PC002,2026-03-02,15:00,16:00,5,0
S00097,PC002,2026-03-03,08:00,09:00,5,0
S00098,PC002,2026-03-03,09:00,10:00,5,0
S00099,PC002,2026-03-03,10:00,11:00,5,0
S00100,PC002,2026-03-03,11:00,12:00,5,0
S00101,PC002,2026-03-03,12:00,13:00,5,0
S00102,PC002,2026-03-03,13:00,14:00,5,0
S00103,PC002,2026-03-03,14:00,15:00,5,0
S00104,PC002,2026-03-03,15:00,16:00,5,0
S00105,PC002,2026-03-04,08:00,09:00,5,0
S00106,PC002,2026-03-04,09:00,10:00,5,0
S00107,PC002,2026-03-04,10:00,11:00,5,0
S00108,PC002,2026-03-04,11:00,12:00,5,0
S00109,PC002,2026-03-04,12:00,13:00,5,0
S00110,PC002,2026-03-04,13:00,14:00,5,0
S00111,PC002,2026-03-04,14:00,15:00,5,0
S00112,PC002,2026-03-04,15:00,16:00,5,0
S00113,PC002,2026-03-05,08:00,09:00,5,0
S00114,PC002,2026-03-05,09:00,10:00,5,0
S00115,PC002,2026-03-05,10:00,11:00,5,0
S00116,PC002,2026-03-05,11:00,12:00,5,0
S00117,PC002,2026-03-05,12:00,13:00,5,0
S00118,PC002,2026-03-05,13:00,14:00,5,0
S00119,PC002,2026-03-05,14:00,15:00,5,0
S00120,PC002,2026-03-05,15:00,16:00,5,0
S00121,PC002,2026-03-06,08:00,09:00,5,0
S00122,PC002,2026-03-06,09:00,10:00,5,0
S00123,PC002,2026-03-06,10:00,11:00,5,0
S00124,PC002,2026-03-06,11:00,12:00,5,0
S00125,PC002,2026-03-06,12:00,13:00,5,0
S00126,PC002,2026-03-06,13:00,14:00,5,0
S00127,PC002,2026-03-06,14:00,15:00,5,0
S00128,PC002,2026-03-06,15:00,16:00,5,0
S00129,PC002,2026-03-07,08:00,09:00,5,0
S00130,PC002,2026-03-07,09:00,10:00,5,0
S00131,PC002,2026-03-07,10:00,11:00,5,0
S00132,PC002,2026-03-07,11:00,12:00,5,0
S00133,PC002,2026-03-07,12:00,13:00,5,0
S00134,PC002,2026-03-07,13:00,14:00,5,0
S00135,PC002,2026-03-07,14:00,15:00,5,0
S00136,PC002,2026-03-07,15:00,16:00,5,0
S00137,PC002,2026-03-08,08:00,09:00,5,0
S00138,PC002,2026-03-08,09:00,10:00,5,0
S00139,PC002,2026-03-08,10:00,11:00,5,0
S00140,PC002,2026-03-08,11:00,12:00,5,0
S00141,PC002,2026-03-08,12:00,13:00,5,0
S00142,PC002,2026-03-08,13:00,14:00,5,0
S00143,PC002,2026-03-08,14:00,15:00,5,0
S00144,PC002,2026-03-08,15:00,16:00,5,0
S00145,PC002,2026-03-09,08:00,09:00,5,0
S00146,PC002,2026-03-09,09:00,10:00,5,0
S00147,PC002,2026-03-09,10:00,11:00,5,0
S00148,PC002,2026-03-09,11:00,12:00,5,0
S00149,PC002,2026-03-09,12:00,13:00,5,0
S00150,PC002,2026-03-09,13:00,14:00,5,0
S00151,PC002,2026-03-09,14:00,15:00,5,0
S00152,PC002,2026-03-09,15:00,16:00,5,0
S00153,PC002,2026-03-10,08:00,09:00,5,0
S00154,PC002,2026-03-10,09:00,10:00,5,0
S00155,PC002,2026-03-10,10:00,11:00,5,0
S00156,PC002,2026-03-10,11:00,12:00,5,0
S00157,PC002,2026-03-10,12:00,13:00,5,0
S00158,PC002,2026-03-10,13:00,14:00,5,0
S00159,PC002,2026-03-10,14:00,15:00,5,0
S00160,PC002,2026-03-10,15:00,16:00,5,0
S00161,PC003,2026-03-01,08:00,09:00,6,0
S00162,PC003,2026-03-01,09:00,10:00,6,0
S00163,PC003,2026-03-01,10:00,11:00,6,0
S00164,PC003,2026-03-01,11:00,12:00,6,0
S00165,PC003,2026-03-01,12:00,13:00,6,0
S00166,PC003,2026-03-01,13:00,14:00,6,0
S00167,PC003,2026-03-01,14:00,15:00,6,0
S00168,PC003,2026-03-01,15:00,16:00,6,0
S00169,PC003,2026-03-02,08:00,09:00,6,0
S00170,PC003,2026-03-02,09:00,10:00,6,0
S00171,PC003,2026-03-02,10:00,11:00,6,0
S00172,PC003,2026-03-02,11:00,12:00,6,0
S00173,PC003,2026-03-02,12:00,13:00,6,0
S00174,PC003,2026-03-02,13:00,14:00,6,0
S00175,PC003,2026-03-02,14:00,15:00,6,0
S00176,PC003,2026-03-02,15:00,16:00,6,0
S00177,PC003,2026-03-03,08:00,09:00,6,0
S00178,PC003,2026-03-03,09:00,10:00,6,0
S00179,PC003,2026-03-03,10:00,11:00,6,0
S00180,PC003,2026-03-03,11:00,12:00,6,0
S00181,PC003,2026-03-03,12:00,13:00,6,0
S00182,PC003,2026-03-03,13:00,14:00,6,0
S00183,PC003,2026-03-03,14:00,15:00,6,0
S00184,PC003,2026-03-03,15:00,16:00,6,0
S00185,PC003,2026-03-04,08:00,09:00,6,0
S00186,PC003,2026-03-04,09:00,10:00,6,0
S00187,PC003,2026-03-04,10:00,11:00,6,0
S00188,PC003,2026-03-04,11:00,12:00,6,0
S00189,PC003,2026-03-04,12:00,13:00,6,0
S00190,PC003,2026-03-04,13:00,14:00,6,0
S00191,PC003,2026-03-04,14:00,15:00,6,0
S00192,PC003,2026-03-04,15:00,16:00,6,0
S00193,PC003,2026-03-05,08:00,09:00,6,0
S00194,PC003,2026-03-05,09:00,10:00,6,0
S00195,PC003,2026-03-05,10:00,11:00,6,0
S00196,PC003,2026-03-05,11:00,12:00,6,0
S00197,PC003,2026-03-05,12:00,13:00,6,0
S00198,PC003,2026-03-05,13:00,14:00,6,0
S00199,PC003,2026-03-05,14:00,15:00,6,0
S00200,PC003,2026-03-05,15:00,16:00,6,0
S00201,PC003,2026-03-06,08:00,09:00,6,0
S00202,PC003,2026-03-06,09:00,10:00,6,0
S00203,PC003,2026-03-06,10:00,11:00,6,0
S00204,PC003,2026-03-06,11:00,12:00,6,0
S00205,PC003,2026-03-06,12:00,13:00,6,0
S00206,PC003,2026-03-06,13:00,14:00,6,0
S00207,PC003,2026-03-06,14:00,15:00,6,0
S00208,PC003,2026-03-06,15:00,16:00,6,0
S00209,PC003,2026-03-07,08:00,09:00,6,0
S00210,PC003,2026-03-07,09:00,10:00,6,0
S00211,PC003,2026-03-07,10:00,11:00,6,0
S00212,PC003,2026-03-07,11:00,12:00,6,0
S00213,PC003,2026-03-07,12:00,13:00,6,0
S00214,PC003,2026-03-07,13:00,14:00,6,0
S00215,PC003,2026-03-07,14:00,15:00,6,0
S00216,PC003,2026-03-07,15:00,16:00,6,0
S00217,PC003,2026-03-08,08:00,09:00,6,0
S00218,PC003,2026-03-08,09:00,10:00,6,0
S00219,PC003,2026-03-08,10:00,11:00,6,0
S00220,PC003,2026-03-08,11:00,12:00,6,0
S00221,PC003,2026-03-08,12:00,13:00,6,0
S00222,PC003,2026-03-08,13:00,14:00,6,0
S00223,PC003,2026-03-08,14:00,15:00,6,0
S00224,PC003,2026-03-08,15:00,16:00,6,0
S00225,PC003,2026-03-09,08:00,09:00,6,0
S00226,PC003,2026-03-09,09:00,10:00,6,0
S00227,PC003,2026-03-09,10:00,11:00,6,0
S00228,PC003,2026-03-09,11:00,12:00,6,0
S00229,PC003,2026-03-09,12:00,13:00,6,0
S00230,PC003,2026-03-09,13:00,14:00,6,0
S00231,PC003,2026-03-09,14:00,15:00,6,0
S00232,PC003,2026-03-09,15:00,16:00,6,0
S00233,PC003,2026-03-10,08:00,09:00,6,0
S00234,PC003,2026-03-10,09:00,10:00,6,0
S00235,PC003,2026-03-10,10:00,11:00,6,0
S00236,PC003,2026-03-10,11:00,12:00,6,0
S00237,PC003,2026-03-10,12:00,13:00,6,0
S00238,PC003,2026-03-10,13:00,14:00,6,0
S00239,PC003,2026-03-10,14:00,15:00,6,0
S00240,PC003,2026-03-10,15:00,16:00,6,0
S00241,PC004,2026-03-01,08:00,09:00,5,0
S00242,PC004,2026-03-01,09:00,10:00,5,0
S00243,PC004,2026-03-01,10:00,11:00,5,0
S00244,PC004,2026-03-01,11:00,12:00,5,0
S00245,PC004,2026-03-01,12:00,13:00,5,0
S00246,PC004,2026-03-01,13:00,14:00,5,0
S00247,PC004,2026-03-01,14:00,15:00,5,0
S00248,PC004,2026-03-01,15:00,16:00,5,0
S00249,PC004,2026-03-02,08:00,09:00,5,0
S00250,PC004,2026-03-02,09:00,10:00,5,0
S00251,PC004,2026-03-02,10:00,11:00,5,0
S00252,PC004,2026-03-02,11:00,12:00,5,0
S00253,PC004,2026-03-02,12:00,13:00,5,0
S00254,PC004,2026-03-02,13:00,14:00,5,0
S00255,PC004,2026-03-02,14:00,15:00,5,0
S00256,PC004,2026-03-02,15:00,16:00,5,0
S00257,PC004,2026-03-03,08:00,09:00,5,0
S00258,PC004,2026-03-03,09:00,10:00,5,0
S00259,PC004,2026-03-03,10:00,11:00,5,0
S00260,PC004,2026-03-03,11:00,12:00,5,0
S00261,PC004,2026-03-03,12:00,13:00,5,0
S00262,PC004,2026-03-03,13:00,14:00,5,0
S00263,PC004,2026-03-03,14:00,15:00,5,0
S00264,PC004,2026-03-03,15:00,16:00,5,0
S00265,PC004,2026-03-04,08:00,09:00,5,0
S00266,PC004,2026-03-04,09:00,10:00,5,0
S00267,PC004,2026-03-04,10:00,11:00,5,0
S00268,PC004,2026-03-04,11:00,12:00,5,0
S00269,PC004,2026-03-04,12:00,13:00,5,0
S00270,PC004,2026-03-04,13:00,14:00,5,0
S00271,PC004,2026-03-04,14:00,15:00,5,0
S00272,PC004,2026-03-04,15:00,16:00,5,0
S00273,PC004,2026-03-05,08:00,09:00,5,0
S00274,PC004,2026-03-05,09:00,10:00,5,0
S00275,PC004,2026-03-05,10:00,11:00,5,0
S00276,PC004,2026-03-05,11:00,12:00,5,0
S00277,PC004,2026-03-05,12:00,13:00,5,0
S00278,PC004,2026-03-05,13:00,14:00,5,0
S00279,PC004,2026-03-05,14:00,15:00,5,0
S00280,PC004,2026-03-05,15:00,16:00,5,0
S00281,PC004,2026-03-06,08:00,09:00,5,0
S00282,PC004,2026-03-06,09:00,10:00,5,0
S00283,PC004,2026-03-06,10:00,11:00,5,0
S00284,PC004,2026-03-06,11:00,12:00,5,0
S00285,PC004,2026-03-06,12:00,13:00,5,0
S00286,PC004,2026-03-06,13:00,14:00,5,0
S00287,PC004,2026-03-06,14:00,15:00,5,0
S00288,PC004,2026-03-06,15:00,16:00,5,0
S00289,PC004,2026-03-07,08:00,09:00,5,0
S00290,PC004,2026-03-07,09:00,10:00,5,0
S00291,PC004,2026-03-07,10:00,11:00,5,0
S00292,PC004,2026-03-07,11:00,12:00,5,0
S00293,PC004,2026-03-07,12:00,13:00,5,0
S00294,PC004,2026-03-07,13:00,14:00,5,0
S00295,PC004,2026-03-07,14:00,15:00,5,0
S00296,PC004,2026-03-07,15:00,16:00,5,0
S00297,PC004,2026-03-08,08:00,09:00,5,0
S00298,PC004,2026-03-08,09:00,10:00,5,0
S00299,PC004,2026-03-08,10:00,11:00,5,0
S00300,PC004,2026-03-08,11:00,12:00,5,0
S00301,PC004,2026-03-08,12:00,13:00,5,0
S00302,PC004,2026-03-08,13:00,14:00,5,0
S00303,PC004,2026-03-08,14:00,15:00,5,0
S00304,PC004,2026-03-08,15:00,16:00,5,0
S00305,PC004,2026-03-09,08:00,09:00,5,0
S00306,PC004,2026-03-09,09:00,10:00,5,0
S00307,PC004,2026-03-09,10:00,11:00,5,0
S00308,PC004,2026-03-09,11:00,12:00,5,0
S00309,PC004,2026-03-09,12:00,13:00,5,0
S00310,PC004,2026-03-09,13:00,14:00,5,0
S00311,PC004,2026-03-09,14:00,15:00,5,0
S00312,PC004,2026-03-09,15:00,16:00,5,0
S00313,PC004,2026-03-10,08:00,09:00,5,0
S00314,PC004,2026-03-10,09:00,10:00,5,0
S00315,PC004,2026-03-10,10:00,11:00,5,0
S00316,PC004,2026-03-10,11:00,12:00,5,0
S00317,PC004,2026-03-10,12:00,13:00,5,0
S00318,PC004,2026-03-10,13:00,14:00,5,0
S00319,PC004,2026-03-10,14:00,15:00,5,0
S00320,PC004,2026-03-10,15:00,16:00,5,0
S00321,PC005,2026-03-01,08:00,09:00,4,0
S00322,PC005,2026-03-01,09:00,10:00,4,0
S00323,PC005,2026-03-01,10:00,11:00,4,0
S00324,PC005,2026-03-01,11:00,12:00,4,0
S00325,PC005,2026-03-01,12:00,13:00,4,0
S00326,PC005,2026-03-01,13:00,14:00,4,0
S00327,PC005,2026-03-01,14:00,15:00,4,0
S00328,PC005,2026-03-01,15:00,16:00,4,0
S00329,PC005,2026-03-02,08:00,09:00,4,0
S00330,PC005,2026-03-02,09:00,10:00,4,0
S00331,PC005,2026-03-02,10:00,11:00,4,0
S00332,PC005,2026-03-02,11:00,12:00,4,0
S00333,PC005,2026-03-02,12:00,13:00,4,0
S00334,PC005,2026-03-02,13:00,14:00,4,0
S00335,PC005,2026-03-02,14:00,15:00,4,0
S00336,PC005,2026-03-02,15:00,16:00,4,0
S00337,PC005,2026-03-03,08:00,09:00,4,0
S00338,PC005,2026-03-03,09:00,10:00,4,0
S00339,PC005,2026-03-03,10:00,11:00,4,0
S00340,PC005,2026-03-03,11:00,12:00,4,0
S00341,PC005,2026-03-03,12:00,13:00,4,0
S00342,PC005,2026-03-03,13:00,14:00,4,0
S00343,PC005,2026-03-03,14:00,15:00,4,0
S00344,PC005,2026-03-03,15:00,16:00,4,0
S00345,PC005,2026-03-04,08:00,09:00,4,0
S00346,PC005,2026-03-04,09:00,10:00,4,0
S00347,PC005,2026-03-04,10:00,11:00,4,0
S00348,PC005,2026-03-04,11:00,12:00,4,0
S00349,PC005,2026-03-04,12:00,13:00,4,0
S00350,PC005,2026-03-04,13:00,14:00,4,0
S00351,PC005,2026-03-04,14:00,15:00,4,0
S00352,PC005,2026-03-04,15:00,16:00,4,0
S00353,PC005,2026-03-05,08:00,09:00,4,0
S00354,PC005,2026-03-05,09:00,10:00,4,0
S00355,PC005,2026-03-05,10:00,11:00,4,0
S00356,PC005,2026-03-05,11:00,12:00,4,0
S00357,PC005,2026-03-05,12:00,13:00,4,0
S00358,PC005,2026-03-05,13:00,14:00,4,0
S00359,PC005,2026-03-05,14:00,15:00,4,0
S00360,PC005,2026-03-05,15:00,16:00,4,0
S00361,PC005,2026-03-06,08:00,09:00,4,0
S00362,PC005,2026-03-06,09:00,10:00,4,0
S00363,PC005,2026-03-06,10:00,11:00,4,0
S00364,PC005,2026-03-06,11:00,12:00,4,0
S00365,PC005,2026-03-06,12:00,13:00,4,0
S00366,PC005,2026-03-06,13:00,14:00,4,0
S00367,PC005,2026-03-06,14:00,15:00,4,0
S00368,PC005,2026-03-06,15:00,16:00,4,0
S00369,PC005,2026-03-07,08:00,09:00,4,0
S00370,PC005,2026-03-07,09:00,10:00,4,0
S00371,PC005,2026-03-07,10:00,11:00,4,0
S00372,PC005,2026-03-07,11:00,12:00,4,0
S00373,PC005,2026-03-07,12:00,13:00,4,0
S00374,PC005,2026-03-07,13:00,14:00,4,0
S00375,PC005,2026-03-07,14:00,15:00,4,0
S00376,PC005,2026-03-07,15:00,16:00,4,0
S00377,PC005,2026-03-08,08:00,09:00,4,0
S00378,PC005,2026-03-08,09:00,10:00,4,0
S00379,PC005,2026-03-08,10:00,11:00,4,0
S00380,PC005,2026-03-08,11:00,12:00,4,0
S00381,PC005,2026-03-08,12:00,13:00,4,0
S00382,PC005,2026-03-08,13:00,14:00,4,0
S00383,PC005,2026-03-08,14:00,15:00,4,0
S00384,PC005,2026-03-08,15:00,16:00,4,0
S00385,PC005,2026-03-09,08:00,09:00,4,0
S00386,PC005,2026-03-09,09:00,10:00,4,0
S00387,PC005,2026-03-09,10:00,11:00,4,0
S00388,PC005,2026-03-09,11:00,12:00,4,0
S00389,PC005,2026-03-09,12:00,13:00,4,0
S00390,PC005,2026-03-09,13:00,14:00,4,0
S00391,PC005,2026-03-09,14:00,15:00,4,0
S00392,PC005,2026-03-09,15:00,16:00,4,0
S00393,PC005,2026-03-10,08:00,09:00,4,0
S00394,PC005,2026-03-10,09:00,10:00,4,0
S00395,PC005,2026-03-10,10:00,11:00,4,0
S00396,PC005,2026-03-10,11:00,12:00,4,0
S00397,PC005,2026-03-10,12:00,13:00,4,0
S00398,PC005,2026-03-10,13:00,14:00,4,0
S00399,PC005,2026-03-10,14:00,15:00,4,0
S00400,PC005,2026-03-10,15:00,16:00,4,0
